INEP;ESCOLAS;ENDEREÇO;GESTOR(A);ZONA;LATITUDE;LONGTUDE
15181278;EMEF GUAJARÁ DE BEJA;RAMAL BAIA;; ESTRADAS;-165.917;-48.832.820
15067173;EMEF PROFª Mª DO CARMO A. SANTOS;R. MAGALHAES BARATA - V. BEJA;; ESTRADAS;-16.238.729;-48.809.281
15066029;EMEF SÃO BENEDITO;RAMAL CURUPERÉ- GRANDE;; ESTRADAS;-18.432.106;-48.880.981
15066606;EMEFI RAIMUNDO N. CARVALHO;ESTRADA DE BEJA APEÍ KM-4;; ESTRADAS;-17.122.222;-48.821.388
15067220;EMEI ROSA MAUÉS CARVALHO;RUA FRANCISCO MONTEIRO 835;; ESTRADAS;-1.624.783;-48.806.187
15067211;EMEIF ANTONIA EULALICE P. DE MIRANDA;EST. NOVA DE BEJA-KM-09;; ESTRADAS;-16.992.183;-48.796.621
15065618;EMEIF BENEDITO SENA DOS PASSOS;PA 252- ABAETÉ-MOJU;; ESTRADAS;-18.142.728;-48.767.761
15181952;EMEIF CAETANO GOMES MATIAS;COLÔNIA VELHA;; ESTRADAS;-1.795.871;-48.752.197
15065758;EMEIF CRISTO REDENTOR;RML. DE BEJA-KM 6;; ESTRADAS;-16.948.965;-48.756.948
15064840;EMEIF CRISTO SALVADOR;RML DE BEJA-KM -8;; ESTRADAS;-16.770.316;-48.755.270
15065421;EMEIF DEOCLECIANA P. ARAÚJO;RML. DO PIROCABA;; ESTRADAS;-16.916.944;-48.872.527
15064832;EMEIF DO CUJARI;RAMAL DO CUJARI;; ESTRADAS;-16.185.335;-48.770.413
15067165;EMEIF DOM JOÃO GAZZA;ES DE BEJA-KM13;; ESTRADAS;-16.774.391;-48.788.113
15064875;EMEIF DR. JOÃO MIRANDA;RD. DR. JOÃO MIRANDA KM-12;; ESTRADAS;-17.744.067;-48.790.006
15065790;EMEIF FREI CARMELO;RAMAL CATAIANDEUA;; ESTRADAS;-17.868.267;-48.847.025
15065251;EMEIF JOANA DA CONC. C. DE LIMA;PA 151-KM20 RML BRASÍLIA;; ESTRADAS;-19.190.696;-48.903.122
15166953;EMEIF JOÃO CARDOSO;RAMAL CAMURITUBA-CENTRO;; ESTRADAS;-17.465.984;-48.678.978
15065316;EMEIF MÁXIMIANO ANTONIO RODRIGUES;RAMAL DO MURUTINGA;; ESTRADAS;-18.160.333;-48.807.364
15065472;EMEIF N. SRA DAS GRAÇAS;RML. MOJÚ M. ALTO;; ESTRADAS;-17.914.107;-48.877.200
15066401;EMEIF Nª SENHORA DAS GRAÇAS;PA-151KM-12 POROROCA;; ESTRADAS;-18.629.357;-48.865.547
15064662;EMEIF Nª SENHORA DAS GRAÇAS;ROD. PA-151KM-15;; ESTRADAS;-18.810.464;-48.880.488
15066428;EMEIF NOSSA SENHORA AUXILIADORA;RAMAL DO ITACUPÉ;; ESTRADAS;-16.383.546;-48.754.251
15066479;EMEIF NOSSA SENHORA DAS GRAÇAS;ARIENGA CENTRO;; ESTRADAS;-16.604.193;-48.712.773
15065863;EMEIF NOSSA SENHORA DE NAZARÉ;RAMAL CURUPERÉ-GRANDE;; ESTRADAS;-1.824.502;-48.876.227
15524094;EMEIF NOSSA SRA. DA CONCEIÇÃO;ARAPIRANGA DE BEJA;; ESTRADAS;-16.471.991;-48.772.119
